1,"Lacteos",\N,"2009-04-25 00:38:55","BACTH",\N,\N,\N,\N
2,"Líquidos","","2009-04-25 00:38:55","BACTH","2009-05-09 12:21:00","ani",\N,\N
3,"Limpieza",\N,"2009-04-25 00:38:55","BACTH",\N,\N,\N,\N
4,"Insecticidas",\N,"2009-04-25 00:38:55","BACTH",\N,\N,\N,\N
5,"Alimento para perros","","2009-04-25 00:38:55","BACTH","2009-05-14 19:19:45","ani",\N,\N
6,"Dulces",\N,"2009-04-25 00:38:55","BACTH",\N,\N,\N,\N
7,"cigarros","","2009-04-27 12:27:47","ani",\N,\N,\N,\N
8,"galletas","","2009-04-27 12:28:21","ani",\N,\N,\N,\N
9,"higiene","","2009-04-27 12:28:42","ani",\N,\N,\N,\N
10,"hogar","","2009-04-27 12:29:10","ani",\N,\N,\N,\N
11,"semillas","","2009-04-27 12:51:37","ani",\N,\N,\N,\N
12,"detergentes","","2009-04-27 12:53:02","ani",\N,\N,\N,\N
13,"suavisantes","","2009-04-27 12:53:18","ani",\N,\N,\N,\N
14,"conservas","","2009-04-27 12:53:55","ani",\N,\N,\N,\N
15,"aceite comestible","","2009-04-27 14:18:03","ani",\N,\N,"2009-04-27 14:21:45","ani"
16,"aceite","","2009-04-27 14:22:10","ani",\N,\N,\N,\N
17,"fijadores para el cabello","","2009-04-28 12:21:07","ani",\N,\N,\N,\N
18,"desechables","","2009-04-29 18:54:20","ani",\N,\N,\N,\N
19,"Chocolates","","2009-04-30 16:13:53","ani",\N,\N,\N,\N
20,"Chiles","","2009-05-01 15:35:37","ani",\N,\N,\N,\N
21,"salsas","","2009-05-01 15:35:54","ani",\N,\N,\N,\N
22,"condimentos","","2009-05-01 15:37:18","ani","2009-05-01 15:50:42","ani",\N,\N
23,"Vinagres","","2009-05-01 18:15:07","ani",\N,\N,\N,\N
24,"Café/Nescafé","","2009-05-02 17:15:32","ani","2009-05-02 17:16:27","ani",\N,\N
25,"saborizantes artificiales","","2009-05-02 17:51:59","ani","2009-05-04 18:39:09","ani",\N,\N
26,"Puré","","2009-05-04 16:57:04","ani",\N,\N,\N,\N
27,"Frijoles","","2009-05-04 17:05:32","ani",\N,\N,\N,\N
28,"Sopas y Cremas","","2009-05-04 17:16:53","ani",\N,\N,\N,\N
29,"Cereales y Avenas","","2009-05-04 17:31:30","ani",\N,\N,\N,\N
30,"Harinas","","2009-05-04 18:24:07","ani",\N,\N,\N,\N
31,"Gelatinas y Flanes","","2009-05-05 17:56:23","ani",\N,\N,\N,\N
32,"Chucherias","","2009-05-06 17:43:46","ani",\N,\N,\N,\N
33,"Carnes Frias y Embutidos","","2009-05-07 18:40:40","ani",\N,\N,\N,\N
34,"Semillas","","2009-05-14 18:13:52","ani",\N,\N,"2009-05-14 18:14:25","ani"
35,"Pan y Galletas","","2009-05-15 15:11:36","ani",\N,\N,\N,\N
36,"Tortillas y Tostadas","","2009-05-15 15:11:56","ani",\N,\N,\N,\N
37,"Paletas y Helados","","2009-05-28 18:19:06","ani",\N,\N,\N,\N
